personID,filename,chirp_wer,Deepgram_wer,googleSTT_wer,whisper_wer,seamless_wer
1,as001,0.5,0.5,0.3333333333333333,0.5,0.16666666666666666
1,as002,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
1,as003,0.2,0.2,0.6,0.4,0.2
1,as004,0.125,0.25,0.375,0.125,0.125
1,as005,0.125,0.25,0.25,0.125,0.125
1,as006,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285
1,as007,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
1,as008,0.125,0.375,0.5,0.125,0.125
1,as009,0.16666666666666666,0.5,0.5,0.5,0.16666666666666666
1,as010,0.16666666666666666,0.5,0.6666666666666666,1.0,0.16666666666666666
1,as011,0.125,0.375,0.125,0.125,0.125
1,as012,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285
1,as013,0.5,0.5,0.625,0.375,0.375
1,as014,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
1,as015,0.125,0.375,0.125,0.125,0.125
1,as016,0.25,0.375,0.375,0.5,0.375
1,as017,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
1,as018,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666
1,as019,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,as020,0.125,0.625,0.5,0.125,0.25
1,as021,0.125,0.5,0.375,0.25,0.25
1,as022,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
1,as023,0.25,0.375,0.375,0.125,0.125
1,as024,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
1,as025,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.2857142857142857
1,as026,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333
1,as027,0.125,0.375,0.375,0.125,0.125
1,as028,0.125,0.375,0.375,0.25,0.25
1,as029,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
1,as030,0.2,0.6,0.6,0.2,0.2
1,as031,0.2,0.6,1.0,0.2,0.2
1,as032,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.16666666666666666,0.16666666666666666
1,as033,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
1,as034,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857
